ID,Classe,061c3a9de3ff152220d022a6f744827a,08208079dff8dbbee4a10904c390cab6,08894f466c1bed6d7649bb8e50e1e819,0f17b2c0954bc26fde587360c7c22c89,113cbf5e2aeb0f509cbfd6b0df5f48b9,13fb2daae81fc03061104cd28fcd9ea2,1535935d40ba3a3e7111386b0719b748,1a15b07c02abee60bafceb90f5a1bc60,1c896a379ca3a788ccce99ad06b50135,1ec0d853f3bdc344e235f8fdd88fa43b,1f2df9321f53cc9ea27a8b2e48aba5e2,22b1fa4faea8ec618ac603f995a822ea,22d0df8271bea772035a91f80b0d512b,26e62ba0e686dc9b90f6433bf6e99b0d,333523f37c812e7bafe0780f66d68668,3b24f9d08538b97ac608d6fb77616f1b,3eb381c10a505a7d206788b29a728611,3f111c299792654fc9fb105ef3d02b61,4005403f2e5f159d87dd5f8eedaa0e87,40b0c6e30d6d5f89724601a893c2ecfc,485a0a5bb1e43b5dfb86636a255cecc0,4a50d0fd106236fb8d7975bf08d7e212,4f89cff8a6b15cfdb0b562d7d2149c82,5090bad9421820eb8d5f1afbc8580f4b,51e3db1acc26149eff33fa70a85df773,5895909245519435a7477ff5a823d4ae,60f5a47712624180cdb3f97a7e965470,675a1e9ee0bd9112f7c6c243cf1a24b8,6f105a965421b665b916ff7b9e2b4f8e,71081eb003aaf6f70f545671cec18561,72cdd21a388616465137e868da591d67,78d3a33068333a8453092740782b3a70,7adb3963abf22a239d03d6c126b34fa6,8998c5835bc18a266489a2216617933d,89a6f9f1ef7c9db0f0cab88d6c2dfd47,8cbc04819a15f4afb27c8f2cb870348b,8f861caf8b3d006d5e79ef7a62521fbb,9301931349663f98f8467a638b9d8c01,988e44e1066ea2f954a479333659467b,9942f28c2ff4c7cae7ce36b3c80c6040,a48fe0783a3e2648b68999a47f097ab1,a6055397eba12964b68cf117c85f588d,a8c0db86a51417113db0e3d14b57e745,ad60864226184113e4c7ebfd147fbd01,b39387df4a735155fe0f4551e73a0ca1,b62604e43912a5ecf97bb40a3ee18aa7,b6c6226476ae7d667be91431acca466b,ba05ff1905893d40f6c302944e3d91de,ba871f0160a39379a5acc29a6fd6806a,bcf77a589f106fb86c8e25113b3f9f00,bfbed48b343307fb3860815cfd1e70c5,c0066d0d2d43b88c2c947447d99e76e8,cfc228bb5bba093ef27e1aba4cb37517,d40072a404cf33158ef2ec8e535347f7,d4b20c6da5daac9cbcbb8ffba1d39e39,d67b0f8ccb6f94173fbc3a748fa30325,e41cf024b97c3019e7187d75b1582822,e570a46b9d8057e8749def1c6126e0b4,e77dac357ab6a0b2a693bd490bdf87a6,ec16ae4fbbd298f7a109978474adb944,f2b6a591e63450aa1f7206347aa996b2,f78bd6dbeefa25ebe423ad70f2f3eb9f
GO_Post-I20.br_rep1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1
GO_Post-I20.br_rep2,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
GO_Post-I20.br_rep3,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0
GO_Post-I20.br_rep4,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0
GO_Post-I20.br_rep5,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
PM_Post-I20.br_rep1,-1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
PM_Post-I20.br_rep2,-1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0
PM_Post-I20.br_rep3,-1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0
PM_Post-I20.br_rep4,-1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
PM_Post-I20.br_rep5,-1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1
