ID,Classe,0045ba9867dabb4d4f0d5d8911480147,061c3a9de3ff152220d022a6f744827a,08208079dff8dbbee4a10904c390cab6,08fd9610cfe9eb87597b5d293ae8a8b8,0cdc7c0a2f9044b9deadeb40777a1d8b,0da34a5f4980a865ec01739544875f2f,14f6b085a55546ec0b3c77d6f51f8a3d,16d7b34a8c6b9c70772a3aa7da394141,17a148eaf672bc963e2ece7023f485f5,1b34adb55de3a64e185e08dda36041ef,1ba0c07091234c7192165257e82ea18b,1c604089327dded5ba4f521b50c111b8,1c896a379ca3a788ccce99ad06b50135,1caac3d14cd4aad4082c256f82db486e,217c09415d904afc8d0b44f604034f29,22d0df8271bea772035a91f80b0d512b,22fb3c0ca9c499eb1fad28dcc6c492ea,2720969ffddaed7a198c83f7342a96fc,28cb60cd7193706ea8d734aed916031a,2fcc158cb2eff6129e25f37c9c0bb8b4,322593f0eb44ff4a150c334c30bf98b4,333523f37c812e7bafe0780f66d68668,34a95402b898125415bef59e042aa0d9,3763650176b5a187214cbba36723d2d8,3a209b361ceb2bb85a392a57f0fea35c,40495ccbd260984f09d542b5cf738321,40b0c6e30d6d5f89724601a893c2ecfc,45a04f61e82f3a130b53808509a6b352,4693d2ce964dfe2effd506202ae5d0df,47e5ad4e1d90566db3fb2c51b9c510c2,485a0a5bb1e43b5dfb86636a255cecc0,4d9e1f61d6859263cf023b161f0581b0,4f89cff8a6b15cfdb0b562d7d2149c82,5090bad9421820eb8d5f1afbc8580f4b,534cef7e07556fe514d41ccc06d96554,56b79a3c6373f249320be1ef6c70f153,5895909245519435a7477ff5a823d4ae,5b7c0b2d78f9091d1acbbe117400aa7a,5bdcbd38ad18dc20220070d561c60f8f,5bdff0c8efe5980f05f8872f4f4a91b1,5d95f6808b54d039f6a50844fc5be906,600a46e4ad5195ed4b24271937786bc2,60f57b1d3cef659a7c89ee5be595b05e,60f5a47712624180cdb3f97a7e965470,62450b077db6f6765af1757a3d38e79c,672216de4be79a850fec6a25f59583c9,675a1e9ee0bd9112f7c6c243cf1a24b8,68a8c241340d81fde622f22a1bb94335,6a8814c0f51d68b314b6f35be4bdc989,6ba6820f3e85b6cd6b1a7d34cc8d1554,6bf7d7599cd10b2b717372bae46a4a26,6db1cfc0cb5a20de999e72e5650067de,6e22a940f36b16bbfbd30511d96a06c5,6f0692b71ec419097799c2e2d38242b0,6f105a965421b665b916ff7b9e2b4f8e,70695df3b3406d8b875d1e432abe4658,71081eb003aaf6f70f545671cec18561,7adb3963abf22a239d03d6c126b34fa6,7c87b9718b16defbc743f846b0c641a5,7d618a38422a9c5235d162e5770d2617,7e2990930a49f6d81871e7d0df5a5ade,80e65831f843802130c331675ccbd85c,857f0cc21f6d9b42d309be9a5320d903,8599ee696498ef4336ae8e2ec2d5e0a2,875db278717630044e62a2f15af3ef21,89a6f9f1ef7c9db0f0cab88d6c2dfd47,8cbc04819a15f4afb27c8f2cb870348b,8f9113b26f302d080fef0a8eade3ac45,8fead4ff62f2f884412d6c0c8d723243,9301931349663f98f8467a638b9d8c01,949614e3f8883d9d9cd6b68b6ffbf892,96873e7a63b3953c0760db0d2c770a82,988e44e1066ea2f954a479333659467b,9aaff5cb7046040c6d01c1ee24c5a397,9b39afbf79e3282aa0ef08bf912cdf6a,9cb5abb87be105aca57b64f73109c30f,9f521a4a11e4f8cc8ba95fe420b2dabd,a17b5e47dbc091edcdaebd933f5e7aa2,a1ee1443ea148036da7044c7906ad7a2,a2890ce584fc4a1365cf7a27a41939f8,a8c0db86a51417113db0e3d14b57e745,ac3c3a5016db0fe3a4a8fb4b35b0ef53,ad60864226184113e4c7ebfd147fbd01,b02fbe969950ca4020716fcdba11ab78,b2e2789415bd96180567e9119001c135,b3b0a4c36ec44131aa3079b0e6fcc05a,b4789b735d1a1135de60837e94df39ca,b4ec79e83a250b70e4ece0518d7d88b4,b62604e43912a5ecf97bb40a3ee18aa7,b63a91aee8591d5834514aac34b39f95,b6c6226476ae7d667be91431acca466b,b776abbce43a47b40f1909d21a931a61,bafdd9b34a3034c01adb7c5a7c13cf3e,bcf77a589f106fb86c8e25113b3f9f00,be4fe59576218a72821c863d5433dcde,bfbed48b343307fb3860815cfd1e70c5,c1e637f493a9f20d9fc98287791bb445,c40dc8742959f8ac9a704a565b4378f1,c4b6df8b40e8353622c8c80157616f98,c785e28dc893c7cc20f0ed4b09c64568,d159ec7a945780de7b322968fa43d622,d40072a404cf33158ef2ec8e535347f7,d4b20c6da5daac9cbcbb8ffba1d39e39,d67b0f8ccb6f94173fbc3a748fa30325,d7772079c4ec34f08a0a7a5e224f3625,d7d49dcea7fa21aff3f848b665097101,df4c6d29c4adf4628425551e4ddcf923,e0053935643a2aff5afd873c65fea95c,e205e280b948433f51c5eca2f2810f07,e5f8c602955a13b0f212f4e6790026ba,ea320370c2115819a7901e0d8d194907,eac8e7a43968994f58927a254d3f00f3,eb7cce8554ca359663bf99b74e2457aa,ec16ae4fbbd298f7a109978474adb944,ecbfddb6f8aab9187cc56bcd9475cf2e,f1fa53e7955f19abfe2227a235806c96,f2b6a591e63450aa1f7206347aa996b2,f4e225b3ebdae8ccc819c1c56a9e966d,f63940d4b0f4a7e320436004b096bef1,f85594d40f2c7a5675cf62a4f51bf4e6,fdb4e029029e51c10a51e2c6da2eee5f
GO_Post-I19.gh_rep1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
GO_Post-I19.gh_rep2,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
GO_Post-I19.gh_rep3,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
GO_Post-I19.gh_rep4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
GO_Post-I19.gh_rep5,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1
PM_Post-I19.gh_rep1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
PM_Post-I19.gh_rep2,-1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
PM_Post-I19.gh_rep3,-1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1
PM_Post-I19.gh_rep4,-1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1
PM_Post-I19.gh_rep5,-1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0
